condition,symptom_list,symptom_text,question,body_system,severity,keywords,synonyms,icd10_codes,embedding_text
Short Bowel Syndrome,"severe diarrhea, dehydration, malnutrition, weight loss, electrolyte imbalances, steatorrhea, vitamin deficiencies, fatigue","Short bowel syndrome leads to severe diarrhea, dehydration, malnutrition, weight loss, electrolyte disturbances, steatorrhea, and vitamin deficiencies, often with fatigue.","What are the symptoms of Short Bowel Syndrome?",Gastrointestinal,Severe,"short bowel syndrome malabsorption intestinal failure diarrhea dehydration","SBS, intestinal insufficiency",K91.2,"Condition: Short Bowel Syndrome
Body System: Gastrointestinal
Severity: Severe
Symptoms: severe diarrhea, dehydration, weight loss, malnutrition, steatorrhea, electrolyte imbalances
Keywords: intestinal failure, malabsorption, parenteral nutrition"
Ulcerative Colitis,"bloody diarrhea with mucus or pus, abdominal discomfort/tenesmus, urgency, fatigue, weight loss, fever","Ulcerative colitis commonly presents with bloody diarrhea mixed with mucus or pus, abdominal discomfort, tenesmus, urgency, fatigue, weight loss, and fever.","What are the symptoms of Ulcerative Colitis?",Gastrointestinal,Severe,"ulcerative colitis IBD colon inflammation bloody diarrhea","chronic ulcerative colitis, idiopathic proctocolitis",K51.90,"Condition: Ulcerative Colitis
Body System: Gastrointestinal
Severity: Severe
Symptoms: bloody diarrhea, mucus/pus, tenesmus, urgency, fatigue, weight loss
Keywords: inflammatory bowel disease, continuous colonic inflammation"
Viral Gastroenteritis,"watery diarrhea, vomiting, headache, fever, chills, abdominal cramps","Viral gastroenteritis manifests with watery diarrhea, vomiting, headache, fever, chills, and abdominal cramps.","What are the symptoms of Viral Gastroenteritis?",Gastrointestinal,Mild,"viral gastroenteritis stomach flu norovirus rotavirus diarrhea","stomach flu, norovirus, rotavirus",A08.4,"Condition: Viral Gastroenteritis
Body System: Gastrointestinal
Severity: Mild
Symptoms: watery diarrhea, vomiting, fever, abdominal cramps, headache
Keywords: norovirus, rotavirus, self‑limiting"
Whipple Disease,"diarrhea, weight loss, malabsorption, abdominal pain, arthralgia, fever, lymphadenopathy, neurological symptoms","Whipple disease symptoms include diarrhea, weight loss due to malabsorption, abdominal pain, arthralgia, fever, lymphadenopathy, and neurological manifestations.","What are the symptoms of Whipple Disease?",Gastrointestinal,Severe,"whipple disease Tropheryma whipplei malabsorption arthralgia","intestinal lipodystrophy, Whipple's disease",K90.81,"Condition: Whipple Disease
Body System: Gastrointestinal
Severity: Severe
Symptoms: diarrhea, weight loss, arthralgia, abdominal pain, fever, neurological changes
Keywords: Tropheryma whipplei, PAS‑positive macrophages, systemic infection"
Wilson Disease,"fatigue, jaundice, abdominal swelling, tremor, clumsiness, speech problems, psychiatric changes, Kayser‑Fleischer rings","Wilson disease may present with hepatic (jaundice, abdominal swelling, fatigue) and neurological symptoms (tremor, clumsiness, speech problems, psychiatric changes) and Kayser‑Fleischer rings.","What are the symptoms of Wilson Disease?",Hepatobiliary,Severe,"wilson disease copper accumulation liver cirrhosis neurological dystonia","hepatolenticular degeneration, copper storage disease",E83.0,"Condition: Wilson Disease
Body System: Hepatobiliary & Neurology
Severity: Severe
Symptoms: jaundice, tremor, dysarthria, psychiatric symptoms, Kayser‑Fleischer rings, fatigue
Keywords: copper, ceruloplasmin, ATP7B, liver disease, basal ganglia"
Zollinger‑Ellison Syndrome,"peptic ulcers causing dull/burning epigastric pain, diarrhea, heartburn, nausea, vomiting, weight loss, gastrointestinal bleeding","Zollinger‑Ellison syndrome causes severe peptic ulcer pain (dull/burning epigastric), diarrhea, heartburn, nausea, vomiting, weight loss, and bleeding.","What are the symptoms of Zollinger‑Ellison Syndrome?",Gastrointestinal,Severe,"zollinger‑ellison gastrinoma peptic ulcer diarrhea","gastrinoma, Z‑E syndrome, pancreatic endocrine tumor",E16.4,"Condition: Zollinger‑Ellison Syndrome
Body System: Gastrointestinal
Severity: Severe
Symptoms: severe peptic ulcer pain, diarrhea, heartburn, nausea, weight loss
Keywords: gastrinoma, hypergastrinemia, duodenal ulcers"
Acquired Cystic Kidney Disease,"often asymptomatic, flank pain, hematuria, urinary tract infections, mass effect","Acquired cystic kidney disease is often asymptomatic; symptoms may include flank pain, hematuria, and UTIs.","What are the symptoms of Acquired Cystic Kidney Disease?",Renal,Mild,"acquired cystic kidney disease dialysis renal cysts","ACKD, dialysis‑associated cysts",N28.1,"Condition: Acquired Cystic Kidney Disease
Body System: Renal
Severity: Mild
Symptoms: often asymptomatic, hematuria, flank pain, UTIs
Keywords: dialysis, renal cysts, chronic kidney disease"
Primary Amyloidosis (Kidney Involvement),"nephrotic syndrome: albuminuria, edema, hyperlipidemia, hypoalbuminemia; fatigue, weight loss, hepatomegaly","Renal amyloidosis often presents with nephrotic syndrome (edema, proteinuria, hyperlipidemia) along with fatigue, weight loss, and hepatomegaly.","What are the symptoms of Amyloidosis and Kidney Disease?",Renal,Severe,"amyloidosis kidney nephrotic syndrome proteinuria","AL amyloidosis, primary systemic amyloidosis",E85.9,"Condition: AL Amyloidosis (Renal)
Body System: Renal
Severity: Severe
Symptoms: nephrotic syndrome (edema, proteinuria, hyperlipidemia), fatigue, weight loss
Keywords: amyloid deposition, light chains, renal biopsy"
Dialysis‑related Amyloidosis,"joint pain, stiffness, fluid in joints, carpal tunnel syndrome, bone cysts, spinal pain","Dialysis‑related amyloidosis causes joint pain, stiffness, carpal tunnel syndrome, bone cysts, and spinal pain.","What are the symptoms of Dialysis‑related Amyloidosis?",Renal,Moderate,"dialysis amyloidosis beta‑2 microglobulin carpal tunnel","DRA, β2‑microglobulin amyloidosis",E85.3,"Condition: Dialysis‑Related Amyloidosis
Body System: Renal/Musculoskeletal
Severity: Moderate
Symptoms: joint pain, carpal tunnel syndrome, bone cysts, spinal involvement
Keywords: beta‑2 microglobulin, long‑term hemodialysis"
Anemia in Chronic Kidney Disease,"weakness, fatigue, pallor, headache, dizziness, dyspnea, poor concentration","Anemia in CKD causes weakness, fatigue, pallor, headache, dizziness, dyspnea, and impaired concentration.","What are the symptoms of Anemia in Chronic Kidney Disease?",Hematology,Moderate,"anemia chronic kidney disease erythropoietin deficiency","renal anemia, anemia of CKD",D63.1,"Condition: Anemia of CKD
Body System: Hematology
Severity: Moderate
Symptoms: fatigue, pallor, dyspnea, dizziness, poor concentration
Keywords: erythropoietin deficiency, renal anemia"
Childhood Nephrotic Syndrome,"edema (legs, feet, ankles, hands, face), foamy urine, weight gain, fatigue, loss of appetite","Childhood nephrotic syndrome presents with edema, foamy urine (proteinuria), weight gain, fatigue, and loss of appetite.","What are the symptoms of Childhood Nephrotic Syndrome?",Renal,Severe,"nephrotic syndrome edema proteinuria children","minimal change disease, pediatric nephrosis",N04.9,"Condition: Childhood Nephrotic Syndrome
Body System: Renal
Severity: Severe
Symptoms: edema, frothy urine, weight gain, fatigue
Keywords: proteinuria, minimal change disease, steroid‑responsive"
Mineral and Bone Disorder in CKD,"bone pain, fractures, muscle weakness, vascular calcification, itching, growth impairment in children","Mineral and bone disorder in CKD may remain silent until bone pain, fractures, muscle weakness, vascular calcification, and itching occur.","What are the symptoms of Mineral and Bone Disorder in CKD?",Renal,Moderate,"CKD‑MBD renal osteodystrophy calcium phosphate PTH","renal osteodystrophy, secondary hyperparathyroidism",N25.81,"Condition: CKD‑MBD
Body System: Renal/Musculoskeletal
Severity: Moderate
Symptoms: bone pain, fractures, muscle weakness, itching, vascular calcification
Keywords: secondary hyperparathyroidism, vitamin D, phosphate"
Ectopic Kidney,"often asymptomatic, diagnosed incidentally, possible urinary tract infections, palpable abdominal mass","An ectopic kidney often causes no symptoms and is found incidentally; rarely UTIs or palpable mass.","What are the symptoms of Ectopic Kidney?",Renal,Mild,"ectopic kidney congenital renal anomaly","renal ectopia, pelvic kidney",Q63.2,"Condition: Ectopic Kidney
Body System: Renal
Severity: Mild
Symptoms: asymptomatic, possible UTIs, palpable mass
Keywords: congenital, renal ectopia, pelvic kidney"
Glomerular Diseases,"albuminuria, hematuria, reduced GFR, edema, hypertension, foamy urine, fatigue","Glomerular diseases present with proteinuria (foamy urine), hematuria, edema, hypertension, and fatigue with reduced kidney function.","What are the symptoms of Glomerular Diseases?",Renal,Severe,"glomerular disease albuminuria hematuria nephritic syndrome","glomerulonephritis, nephritic syndrome, nephrosis",N05.9,"Condition: Glomerular Disease
Body System: Renal
Severity: Severe
Symptoms: hematuria, proteinuria, edema, hypertension, fatigue
Keywords: glomerulonephritis, nephritic/nephrotic syndrome"
Goodpasture Syndrome,"fatigue, nausea, vomiting, weakness, cough, hemoptysis, shortness of breath, hematuria, renal failure","Goodpasture syndrome initially causes fatigue, nausea, weakness, then lung involvement (cough, hemoptysis, dyspnea) and kidney involvement (hematuria, renal failure).","What are the symptoms of Goodpasture Syndrome?",Renal,Critical,"goodpasture syndrome anti‑GBM disease hemoptysis hematuria","anti‑GBM antibody disease, glomerular basement membrane disease",M31.0,"Condition: Goodpasture Syndrome
Body System: Renal/Pulmonary
Severity: Critical
Symptoms: hemoptysis, dyspnea, hematuria, fatigue, renal failure
Keywords: anti‑GBM, alveolar hemorrhage, crescentic glomerulonephritis"
Hemolytic Uremic Syndrome in Children,"diarrhea (often bloody), vomiting, abdominal pain, decreased urine output, pallor, lethargy, petechiae, hypertension","HUS in children often starts with gastroenteritis (bloody diarrhea, vomiting, abdominal pain), then oliguria, pallor, lethargy, petechiae, and hypertension.","What are the symptoms of Hemolytic Uremic Syndrome in Children?",Renal,Critical,"hemolytic uremic syndrome HUS E. coli children renal","HUS, Shiga‑toxin producing E. coli (STEC) HUS",D59.3,"Condition: Hemolytic Uremic Syndrome
Body System: Renal/Hematology
Severity: Critical
Symptoms: bloody diarrhea, oliguria, pallor, petechiae, lethargy
Keywords: thrombotic microangiopathy, E. coli O157:H7, renal failure"
Henoch‑Schönlein Purpura (HSP),"palpable purpura (buttocks, legs), abdominal pain, arthralgia, renal involvement (hematuria, proteinuria), fever","HSP presents with palpable purpura, abdominal pain, joint pain, and renal involvement (hematuria, proteinuria).","What are the symptoms of Henoch‑Schonlein Purpura?",Renal/Rheumatology,Moderate,"Henoch‑Schonlein purpura IgA vasculitis purpura abdominal pain","IgA vasculitis, anaphylactoid purpura",D69.0,"Condition: Henoch‑Schönlein Purpura
Body System: Renal/Vasculitis
Severity: Moderate
Symptoms: palpable purpura, abdominal pain, arthralgia, hematuria
Keywords: IgA vasculitis, leukocytoclastic, children"
High Blood Pressure and Kidney Disease,"often asymptomatic, headaches (rare), oliguria, edema, fatigue","High blood pressure and early kidney disease are often asymptomatic; some may have headaches and later edema.","What are the symptoms of High Blood Pressure and Kidney Disease?",Renal,Moderate,"hypertension kidney disease hypertensive nephrosclerosis CKD","hypertensive renal disease, renal hypertension",I12.9,"Condition: Hypertensive Renal Disease
Body System: Renal/Cardiovascular
Severity: Moderate
Symptoms: often asymptomatic, headaches, edema in advanced stage
Keywords: hypertension, nephrosclerosis, proteinuria"
IgA Nephropathy,"hematuria (flank pain with gross hematuria after infection), proteinuria, hypertension, edema","IgA nephropathy may be silent for years; common symptom is hematuria, often with flank pain after an upper respiratory infection, proteinuria, and hypertension.","What are the symptoms of IgA Nephropathy?",Renal,Moderate,"IgA nephropathy Berger disease hematuria glomerulonephritis","Berger's disease, IgA GN",N02.8,"Condition: IgA Nephropathy
Body System: Renal
Severity: Moderate
Symptoms: hematuria, flank pain, proteinuria, hypertension
Keywords: Berger, IgA deposition, synpharyngitic"
Kidney Dysplasia,"often asymptomatic if unilateral, enlarged kidney at birth, abdominal mass, possible UTIs","Kidney dysplasia may be asymptomatic if unilateral; an enlarged kidney may be felt as a mass in infants.","What are the symptoms of Kidney Dysplasia?",Renal,Mild,"kidney dysplasia renal dysplasia congenital","multicystic dysplastic kidney (MCDK)",Q61.4,"Condition: Kidney Dysplasia
Body System: Renal
Severity: Mild
Symptoms: often asymptomatic, abdominal mass in infant, possible UTIs
Keywords: congenital, MCDK, cystic dysplasia"
Lupus Nephritis,"edema, foamy urine, hypertension, weight gain, fatigue, hematuria, proteinuria","Lupus nephritis presents with edema, foamy urine, hypertension, weight gain, fatigue, hematuria, and proteinuria.","What are the symptoms of Lupus Nephritis?",Renal,Severe,"lupus nephritis SLE kidney proteinuria edema","SLE kidney disease, lupus glomerulonephritis",M32.14,"Condition: Lupus Nephritis
Body System: Renal
Severity: Severe
Symptoms: edema, proteinuria, hypertension, hematuria, fatigue
Keywords: systemic lupus erythematosus, immune complex, renal biopsy"
Medullary Sponge Kidney,"often asymptomatic, recurrent UTIs, kidney stones, hematuria, flank pain","Medullary sponge kidney is often first detected due to recurrent UTIs, kidney stones, hematuria, and flank pain.","What are the symptoms of Medullary Sponge Kidney?",Renal,Mild,"medullary sponge kidney renal calculi UTI nephrocalcinosis","Cacchi‑Ricci disease, tubular ectasia",Q61.5,"Condition: Medullary Sponge Kidney
Body System: Renal
Severity: Mild
Symptoms: recurrent kidney stones, UTIs, hematuria, flank pain
Keywords: tubular ectasia, nephrocalcinosis, calculus"
Nephrotic Syndrome in Adults,"edema (generalized), foamy urine, hyperlipidemia, hypoalbuminemia, weight gain, fatigue, loss of appetite","Nephrotic syndrome in adults presents with generalized edema, foamy urine, hyperlipidemia, hypoalbuminemia, weight gain, and fatigue.","What are the symptoms of Nephrotic Syndrome in Adults?",Renal,Severe,"nephrotic syndrome proteinuria edema hyperlipidemia hypoalbuminemia","idiopathic nephrotic syndrome, membranous nephropathy",N04.9,"Condition: Nephrotic Syndrome
Body System: Renal
Severity: Severe
Symptoms: massive proteinuria, edema, hyperlipidemia, hypoalbuminemia, fatigue
Keywords: podocyte injury, glomerular basement membrane, thromboembolism risk"
Polycystic Kidney Disease (PKD),"back and flank pain, headaches, hypertension, hematuria, enlarged kidneys, palpable mass, recurrent UTIs, kidney stones","Autosomal dominant PKD commonly causes back/flank pain, headaches, hypertension, hematuria, enlarged kidneys, and recurrent UTIs.","What are the symptoms of Polycystic Kidney Disease?",Renal,Severe,"polycystic kidney disease ADPKD cysts renal failure","ADPKD, ARPKD",Q61.2,"Condition: Autosomal Dominant Polycystic Kidney Disease
Body System: Renal
Severity: Severe
Symptoms: flank pain, hypertension, hematuria, palpable kidneys, UTIs
Keywords: ADPKD, PKD1/PKD2, cyst growth, renal failure"
Autosomal Recessive PKD (ARPKD),"enlarged kidneys in utero/neonate, oligohydramnios, Potter sequence, hypertension, renal insufficiency","ARPKD often presents prenatally with enlarged kidneys, oligohydramnios, and after birth hypertension and renal failure.","What are the symptoms of Autosomal Recessive Polycystic Kidney Disease?",Renal,Critical,"ARPKD polycystic kidney disease infant renal failure","infantile PKD, polycystic kidney disease type 2",Q61.1,"Condition: ARPKD
Body System: Renal
Severity: Critical
Symptoms: massively enlarged kidneys, oligohydramnios, hypertension, renal failure
Keywords: PKHD1, congenital hepatic fibrosis, perinatal"
Proteinuria,"often asymptomatic early, foamy urine, edema (if quantitative heavy), fatigue due to protein loss","Proteinuria has no early symptoms; large amounts cause foamy urine, edema, and fatigue.","What are the symptoms of Proteinuria?",Renal,Mild,"proteinuria foamy urine edema protein","albuminuria, microalbuminuria",R80.9,"Condition: Proteinuria
Body System: Renal
Severity: Mild (if isolated)
Symptoms: foamy urine, edema (if heavy), fatigue
Keywords: albuminuria, kidney damage marker, CKD staging"
Pyelonephritis (Kidney Infection),"fever, chills, back/side/flank pain, nausea, vomiting, frequent painful urination, cloudy urine","Pyelonephritis causes fever, chills, flank pain, nausea, vomiting, and urinary symptoms (dysuria, frequency).","What are the symptoms of Pyelonephritis?",Renal,Severe,"pyelonephritis kidney infection UTI fever flank pain","acute pyelonephritis, upper UTI",N10,"Condition: Acute Pyelonephritis
Body System: Renal
Severity: Severe
Symptoms: fever, flank pain, chills, nausea, dysuria
Keywords: upper UTI, renal involvement, sepsis risk"
Renal Artery Stenosis,"often asymptomatic until severe; high blood pressure (resistant), decreased kidney function, flash pulmonary edema","Renal artery stenosis may be asymptomatic; signs include resistant hypertension, declining renal function, and occasionally flash pulmonary edema.","What are the symptoms of Renal Artery Stenosis?",Renal,Severe,"renal artery stenosis hypertension renovascular flash pulmonary edema","renovascular hypertension, atherosclerotic RAS",I70.1,"Condition: Renal Artery Stenosis
Body System: Renal/Cardiovascular
Severity: Severe
Symptoms: resistant hypertension, renal failure, flash pulmonary edema (bilateral)
Keywords: renovascular, atherosclerosis, fibromuscular dysplasia"
Simple Kidney Cysts,"often asymptomatic, flank pain if large, possible palpable mass, hematuria rarely","Simple kidney cysts usually cause no symptoms; large cysts may cause dull flank pain.","What are the symptoms of Simple Kidney Cysts?",Renal,Mild,"simple kidney cyst renal cyst benign","renal cortical cyst, simple cyst",N28.1,"Condition: Simple Renal Cyst
Body System: Renal
Severity: Mild
Symptoms: usually asymptomatic, flank ache if large
Keywords: benign, Bosniak I, incidental"
Alagille Syndrome,"jaundice, pruritus, xanthomas, congenital heart disease (pulmonary stenosis), butterfly vertebrae, posterior embryotoxon, renal anomalies","Alagille syndrome presents with cholestatic jaundice, pruritus, xanthomas, and associations with cardiac, skeletal, ocular, and renal anomalies.","What are the symptoms of Alagille Syndrome?",Hepatobiliary,Severe,"alagille syndrome JAG1 NOTCH2 bile duct paucity","arteriohepatic dysplasia, syndromic bile duct paucity",Q44.7,"Condition: Alagille Syndrome
Body System: Hepatobiliary
Severity: Severe
Symptoms: cholestatic jaundice, pruritus, congenital heart disease, butterfly vertebrae
Keywords: JAG1, intrahepatic bile duct paucity, genetic syndrome"
Autoimmune Hepatitis,"fatigue, joint pain, nausea, loss of appetite, right upper quadrant pain, jaundice, dark urine, pruritus, skin rashes","Autoimmune hepatitis commonly presents with fatigue, arthralgia, nausea, anorexia, right upper quadrant pain, jaundice, dark urine, and pruritus.","What are the symptoms of Autoimmune Hepatitis?",Hepatobiliary,Severe,"autoimmune hepatitis liver inflammation ANA SMA","lupoid hepatitis, chronic active hepatitis",K75.4,"Condition: Autoimmune Hepatitis
Body System: Hepatobiliary
Severity: Severe
Symptoms: fatigue, arthralgia, jaundice, anorexia, hepatomegaly
Keywords: ANA, anti‑smooth muscle, IgG, interface hepatitis"
Biliary Atresia,"neonatal jaundice (beyond 2 weeks), pale stools, dark urine, hepatomegaly, poor weight gain","Biliary atresia presents in neonates with persistent jaundice, pale acholic stools, dark urine, hepatomegaly, and failure to thrive.","What are the symptoms of Biliary Atresia?",Hepatobiliary,Critical,"biliary atresia neonatal jaundice cholestasis","extrahepatic biliary atresia, neonatal cholestasis",Q44.2,"Condition: Biliary Atresia
Body System: Hepatobiliary
Severity: Critical
Symptoms: prolonged neonatal jaundice, acholic stools, dark urine, hepatomegaly
Keywords: Kasai portoenterostomy, infantile obstructive cholangiopathy"
Cirrhosis,"fatigue, weakness, loss of appetite, nausea, weight loss, jaundice, spider angiomas, palmar erythema, ascites, easy bruising, confusion (hepatic encephalopathy)","Cirrhosis may be asymptomatic early; later symptoms include fatigue, anorexia, weight loss, jaundice, spider angiomas, ascites, bruising, and mental changes.","What are the symptoms of Cirrhosis?",Hepatobiliary,Severe,"cirrhosis liver fibrosis ascites jaundice portal hypertension","end‑stage liver disease, hepatic fibrosis",K74.60,"Condition: Cirrhosis
Body System: Hepatobiliary
Severity: Severe
Symptoms: fatigue, jaundice, ascites, spider angiomas, palmar erythema, encephalopathy
Keywords: portal hypertension, liver decompensation, MELD"
Hemochromatosis,"joint pain, fatigue, unexplained weight loss, bronze/gray skin, abdominal pain, loss of libido, heart problems","Hereditary hemochromatosis may present with joint pain, fatigue, weight loss, bronze skin discoloration, abdominal pain, and hypogonadism.","What are the symptoms of Hemochromatosis?",Hepatobiliary,Severe,"hemochromatosis iron overload HFE gene bronze diabetes","hereditary hemochromatosis, bronze diabetes",E83.119,"Condition: Hereditary Hemochromatosis
Body System: Hepatobiliary
Severity: Severe
Symptoms: joint pain, fatigue, skin hyperpigmentation, diabetes, cirrhosis
Keywords: iron overload, HFE, C282Y, phlebotomy"
Hepatitis B,"often asymptomatic, fatigue, muscle soreness, upset stomach, fever, loss of appetite, jaundice, abdominal pain, dark urine","Hepatitis B may be silent; acute symptoms include fatigue, muscle soreness, nausea, fever, anorexia, jaundice, abdominal pain, and dark urine.","What are the symptoms of Hepatitis B?",Hepatobiliary,Moderate,"hepatitis B HBV viral hepatitis jaundice","serum hepatitis, HBV infection",B18.1,"Condition: Hepatitis B
Body System: Hepatobiliary
Severity: Moderate (chronic severe)
Symptoms: fatigue, nausea, jaundice, abdominal pain, dark urine, anorexia
Keywords: HBV, surface antigen, antiviral"
Nonalcoholic Steatohepatitis (NASH),"often asymptomatic early; later fatigue, weight loss, weakness, right upper quadrant discomfort","NASH is usually silent until later stages when fatigue, weight loss, weakness, and right upper quadrant discomfort appear.","What are the symptoms of Nonalcoholic Steatohepatitis?",Hepatobiliary,Severe,"NASH fatty liver steatohepatitis cirrhosis metabolic","non‑alcoholic fatty liver disease (NAFLD) with inflammation",K75.81,"Condition: NASH
Body System: Hepatobiliary
Severity: Severe (progressive)
Symptoms: fatigue, weight loss, weakness, right upper quadrant pain
Keywords: metabolic syndrome, steatosis, ballooning, fibrosis"
Porphyria,"oversensitivity to sunlight (cutaneous), abdominal pain (acute), muscle weakness, neuropsychiatric, red urine","Cutaneous porphyrias cause photosensitivity, blistering; acute porphyrias cause severe abdominal pain, neuropsychiatric symptoms, and red urine.","What are the symptoms of Porphyria?",Hepatobiliary/Hematology,Severe,"porphyria heme synthesis photosensitivity abdominal pain","acute intermittent porphyria, porphyria cutanea tarda",E80.9,"Condition: Porphyria
Body System: Hepatobiliary/Hematology
Severity: Severe
Symptoms: photosensitivity, abdominal pain, neurovisceral attacks, red urine
Keywords: heme biosynthesis, PBG, ALA"
Primary Biliary Cholangitis (PBC),"fatigue, pruritus, dry eyes/mouth, jaundice, darkening skin from scratching, hepatomegaly","PBC commonly presents with fatigue, intractable pruritus, dry eyes/mouth, and later jaundice and hepatomegaly.","What are the symptoms of Primary Biliary Cholangitis?",Hepatobiliary,Severe,"primary biliary cholangitis PBC antimitochondrial antibody","primary biliary cirrhosis, chronic nonsuppurative destructive cholangitis",K74.3,"Condition: Primary Biliary Cholangitis
Body System: Hepatobiliary
Severity: Severe
Symptoms: fatigue, pruritus, dry eyes/mouth, jaundice, hepatomegaly
Keywords: AMA, cholestatic, ursodeoxycholic acid"
Primary Sclerosing Cholangitis (PSC),"pruritus, fatigue, jaundice, right upper quadrant pain, fever/chills (if cholangitis)","PSC causes pruritus, fatigue, jaundice, abdominal pain, and episodic cholangitis with fever and chills.","What are the symptoms of Primary Sclerosing Cholangitis?",Hepatobiliary,Severe,"primary sclerosing cholangitis PSC IBD cholestasis","sclerosing cholangitis, fibrosing cholangitis",K83.0,"Condition: Primary Sclerosing Cholangitis
Body System: Hepatobiliary
Severity: Severe
Symptoms: pruritus, fatigue, jaundice, cholangitis episodes
Keywords: multifocal strictures, IBD, ERCP"
Viral Hepatitis (General A‑E),"jaundice, fatigue, abdominal pain, loss of appetite, nausea, vomiting, diarrhea, low‑grade fever, headache","Viral hepatitis commonly presents with jaundice, fatigue, abdominal pain, anorexia, nausea, vomiting, diarrhea, low‑grade fever, and headache.","What are the symptoms of Viral Hepatitis?",Hepatobiliary,Mild to Severe,"viral hepatitis Hepatitis A B C D E","acute viral hepatitis",B19.9,"Condition: Acute Viral Hepatitis
Body System: Hepatobiliary
Severity: Moderate
Symptoms: jaundice, fatigue, anorexia, nausea, abdominal pain
Keywords: hepatitis A, B, C, D, E, transaminase elevation"
Interstitial Cystitis / Painful Bladder Syndrome,"urinary urgency, frequency, pelvic pain, pressure, discomfort as bladder fills, nocturia","Interstitial cystitis presents with urinary urgency, frequency, pelvic pain, and discomfort that worsens as the bladder fills, and nocturia.","What are the symptoms of Interstitial Cystitis/Painful Bladder Syndrome?",Urology,Moderate,"interstitial cystitis painful bladder syndrome IC/BPS","IC/PBS, bladder pain syndrome, Hunner's ulcer",N30.10,"Condition: Interstitial Cystitis
Body System: Urology
Severity: Moderate
Symptoms: urinary urgency, frequency, pelvic pain, nocturia
Keywords: bladder pain, Hunner lesions, non‑infectious"
Kidney Stones (Nephrolithiasis) in Adults,"pain while urinating, hematuria, sharp flank/back pain radiating to groin, nausea, vomiting, cloudy urine","Kidney stones cause intense flank pain radiating to groin, hematuria, dysuria, nausea, and vomiting.","What are the symptoms of Kidney Stones in Adults?",Renal,Severe,"renal stone nephrolithiasis hematuria flank pain colic","urolithiasis, renal calculi",N20.0,"Condition: Kidney Stones
Body System: Renal
Severity: Severe
Symptoms: colicky flank pain, hematuria, nausea, vomiting, dysuria
Keywords: renal colic, calcium oxalate, ureteral calculus"
Kidney Stones in Children,"pain while urinating, hematuria, sharp pain in back or lower abdomen, nausea, vomiting, restlessness","Children with kidney stones may present with dysuria, hematuria, flank or abdominal pain, nausea, vomiting, and restlessness.","What are the symptoms of Kidney Stones in Children?",Renal,Severe,"kidney stones children urolithiasis hematuria","pediatric nephrolithiasis",N20.9,"Condition: Pediatric Kidney Stones
Body System: Renal
Severity: Severe
Symptoms: flank/abdominal pain, hematuria, nausea, vomiting
Keywords: pediatric, metabolic evaluation, hypercalciuria"
Peyronie's Disease,"hard lumps on penis, pain during erection, penile curvature, erectile dysfunction, shortening","Peyronie's disease causes palpable plaque, painful erections, penile curvature, and erectile dysfunction.","What are the symptoms of Peyronie's Disease?",Urology,Moderate,"peyronie disease penile curvature plaque fibrosis","induratio penis plastica, penile fibromatosis",N48.6,"Condition: Peyronie Disease
Body System: Urology
Severity: Moderate
Symptoms: penile plaque, curvature, painful erections, ED
Keywords: penile fibrosis, Dupuytren, collagen"
Benign Prostatic Hyperplasia (BPH),"urinary frequency, urgency, nocturia, weak stream, hesitancy, straining, feeling of incomplete emptying","BPH causes lower urinary tract symptoms: frequency, urgency, nocturia, weak stream, hesitancy, strain, and incomplete emptying.","What are the symptoms of Prostate Enlargement (BPH)?",Urology,Moderate,"BPH benign prostatic hyperplasia urinary obstruction LUTS","prostatic enlargement, benign prostatic hypertrophy",N40.0,"Condition: Benign Prostatic Hyperplasia
Body System: Urology
Severity: Moderate
Symptoms: weak stream, hesitancy, frequency, nocturia, urgency
Keywords: LUTS, prostate, alpha‑blockers"
Urinary Retention,"inability to urinate, painful urge, lower abdominal discomfort/fullness, overflow incontinence (if chronic)","Acute urinary retention presents with inability to void, painful urge, and lower abdominal discomfort.","What are the symptoms of Urinary Retention?",Urology,Severe,"urinary retention acute bladder outlet obstruction","ischuria, bladder outlet obstruction",R33,"Condition: Acute Urinary Retention
Body System: Urology
Severity: Severe
Symptoms: inability to void, painful bladder distension, lower abdominal pain
Keywords: outlet obstruction, catheterization"
Urinary Tract Infection (UTI) in Adults,"dysuria, frequency, urgency, hematuria, cloudy urine, strong odor, pelvic pain; elderly may have confusion","UTI in adults causes dysuria, frequency, urgency, hematuria, cloudy urine, and pelvic discomfort; elderly may present with confusion.","What are the symptoms of Urinary Tract Infection in Adults?",Urology,Moderate,"UTI cystitis dysuria bacteriuria urinary tract","urinary tract infection, cystitis, pyelonephritis if upper",N39.0,"Condition: Urinary Tract Infection
Body System: Urology
Severity: Moderate
Symptoms: dysuria, frequency, urgency, cloudy urine, hematuria
Keywords: cystitis, bacteriuria, antibiotic"
UTI in Children,"fever, irritability, vomiting, poor feeding, dysuria (in older child), unusual smelling urine","Children with UTI may have fever, irritability, vomiting, poor feeding, and in older children dysuria and frequency.","What are the symptoms of Urinary Tract Infections in Children?",Urology,Moderate,"pediatric UTI childhood urinary tract infection","child UTI, paediatric cystitis",N39.0,"Condition: Pediatric UTI
Body System: Urology
Severity: Moderate
Symptoms: fever, irritability, vomiting, dysuria
Keywords: vesicoureteral reflux, renal scarring"
